abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc_print,apc_pval,doubling_time
CT,Connecticut,One opioid alone,single_opioid,nhw,Non-Hispanic White,474,21.6,21.4,"4 (-3, 10)",0.27,"29.1 (-34.0, 10.1)"
Cumberland County (NC),Cumberland County,One opioid alone,single_opioid,nhw,Non-Hispanic White,32,23.4,29.7,"12 (9, 15)",<.001,"8.6 (11.4, 7.0)"
Cuyahoga County (OH),Cuyahoga County,One opioid alone,single_opioid,nhw,Non-Hispanic White,180,25.7,28.7,"7 (2, 13)",0.01,"14.8 (63.0, 8.3)"
Dallas County (TX),Dallas County,One opioid alone,single_opioid,nhw,Non-Hispanic White,80,9.4,11.7,"5 (3, 7)",<.001,"20.9 (32.8, 15.6)"
Davidson County (TN),Davidson County,One opioid alone,single_opioid,nhw,Non-Hispanic White,125,28.9,27.9,"8 (7, 9)",<.001,"13.0 (15.2, 11.2)"
DC,District of Columbia,One opioid alone,single_opioid,nhw,Non-Hispanic White,13,4.4,4.3,"1 (-3, 6)",0.51,"71.9 (-35.2, 18.0)"
DE,Delaware,One opioid alone,single_opioid,nhw,Non-Hispanic White,199,37.0,35.2,"32 (-10, 94)",0.14,"3.6 (-9.7, 1.5)"
DeKalb County (GA),DeKalb County,One opioid alone,single_opioid,nhw,Non-Hispanic White,15,5.9,5.2,"-22 (-46, 13)",0.18,"-4.0 (-1.6, 8.0)"
Delaware County (PA),Delaware County,One opioid alone,single_opioid,nhw,Non-Hispanic White,87,25.0,25.0,"-3 (-39, 55)",0.89,"-32.8 (-2.0, 2.3)"
District of Columbia (DC),District of Columbia,One opioid alone,single_opioid,nhw,Non-Hispanic White,13,4.4,4.3,"1 (-3, 6)",0.51,"71.9 (-35.2, 18.0)"
Durham County (NC),Durham County,One opioid alone,single_opioid,nhw,Non-Hispanic White,<11,"NA",9.5,"4 (0, 8)",0.08,"28.3 (-249.5, 13.3)"
Duval County (FL),Duval County,One opioid alone,single_opioid,nhw,Non-Hispanic White,200,40.6,39.2,"16 (12, 19)",<.001,"6.9 (8.8, 5.7)"
East Baton Rouge Parish (LA),East Baton Rouge Parish,One opioid alone,single_opioid,nhw,Non-Hispanic White,26,14.8,15.3,"47 (-4, 125)",0.07,"2.6 (-27.3, 1.2)"
Erie County (NY),Erie County,One opioid alone,single_opioid,nhw,Non-Hispanic White,73,11.4,11.1,"-19 (-40, 11)",0.17,"-4.8 (-1.9, 9.8)"
Essex County (NJ),Essex County,One opioid alone,single_opioid,nhw,Non-Hispanic White,27,10.8,13.7,"5 (2, 8)",<.01,"20.5 (53.1, 12.8)"
Fairfax County (VA),Fairfax County,One opioid alone,single_opioid,nhw,Non-Hispanic White,35,5.9,6.7,"4 (1, 8)",0.01,"22.7 (83.8, 13.2)"
FL,Florida,One opioid alone,single_opioid,nhw,Non-Hispanic White,"2,203",22.1,23.2,"17 (11, 23)",<.001,"6.5 (9.7, 4.9)"
Fort Bend County (TX),Fort Bend County,One opioid alone,single_opioid,nhw,Non-Hispanic White,<11,"NA",4.4,"-2 (-8, 4)",0.44,"-47.1 (-12.8, 28.3)"
Franklin County (OH),Franklin County,One opioid alone,single_opioid,nhw,Non-Hispanic White,302,34.8,34.9,"18 (11, 26)",<.001,"5.9 (9.5, 4.3)"
Fulton County (GA),Fulton County,One opioid alone,single_opioid,nhw,Non-Hispanic White,26,5.2,6.4,"-26 (-56, 26)",0.24,"-3.4 (-1.2, 4.4)"
GA,Georgia,One opioid alone,single_opioid,nhw,Non-Hispanic White,436,7.8,7.7,"-17 (-33, 2)",0.07,"-5.3 (-2.5, 46.0)"
Guilford County (NC),Guilford County,One opioid alone,single_opioid,nhw,Non-Hispanic White,50,21.3,21.1,"9 (7, 12)",<.001,"11.2 (15.4, 8.8)"
Gwinnett County (GA),Gwinnett County,One opioid alone,single_opioid,nhw,Non-Hispanic White,23,6.9,12.9,"8 (5, 11)",<.001,"13.2 (19.7, 9.8)"
Hamilton County (OH),Hamilton County,One opioid alone,single_opioid,nhw,Non-Hispanic White,189,35.7,34.4,"6 (3, 9)",<.01,"17.2 (32.8, 11.6)"
Harris County (TX),Harris County,One opioid alone,single_opioid,nhw,Non-Hispanic White,150,10.1,10.2,"2 (-2, 7)",0.25,"40.5 (-52.1, 14.4)"
Hartford County (CT),Hartford County,One opioid alone,single_opioid,nhw,Non-Hispanic White,141,28.2,29.4,"11 (4, 19)",<.01,"9.5 (29.1, 5.7)"
Hennepin County (MN),Hennepin County,One opioid alone,single_opioid,nhw,Non-Hispanic White,59,6.8,7.3,"2 (0, 5)",0.07,"42.2 (-499.5, 20.1)"
HI,Hawaii,One opioid alone,single_opioid,nhw,Non-Hispanic White,29,6.8,7.0,"-3 (-6, 0)",0.03,"-31.8 (-16.7, -249.5)"
Hillsborough County (FL),Hillsborough County,One opioid alone,single_opioid,nhw,Non-Hispanic White,95,12.6,12.9,"3 (-4, 10)",0.36,"36.2 (-27.3, 10.9)"
IA,Iowa,One opioid alone,single_opioid,nhw,Non-Hispanic White,89,3.4,3.3,"-14 (-22, -6)",<.01,"-6.5 (-4.0, -16.4)"
ID,Idaho,One opioid alone,single_opioid,nhw,Non-Hispanic White,95,6.6,6.8,"4 (4, 6)",<.001,"22.7 (28.3, 18.7)"
IL,Illinois,One opioid alone,single_opioid,nhw,Non-Hispanic White,771,10.4,10.2,"-5 (-15, 5)",0.26,"-18.0 (-6.3, 21.3)"
IN,Indiana,One opioid alone,single_opioid,nhw,Non-Hispanic White,777,15.7,15.3,"6 (-13, 29)",0.53,"17.4 (-7.3, 4.0)"
Jackson County (MO),Jackson County,One opioid alone,single_opioid,nhw,Non-Hispanic White,35,8.0,8.9,"-2 (-5, 2)",0.24,"-52.1 (-18.7, 67.2)"
Jefferson County (AL),Jefferson County,One opioid alone,single_opioid,nhw,Non-Hispanic White,70,22.3,23.4,"-5 (-20, 13)",0.54,"-19.1 (-4.4, 8.2)"
Jefferson County (KY),Jefferson County,One opioid alone,single_opioid,nhw,Non-Hispanic White,141,28.8,31.9,"15 (10, 21)",<.001,"7.2 (11.0, 5.3)"
Jefferson Parish (LA),Jefferson Parish,One opioid alone,single_opioid,nhw,Non-Hispanic White,52,23.5,29.6,"6 (-2, 15)",0.14,"17.2 (-43.0, 7.2)"
King County (WA),King County,One opioid alone,single_opioid,nhw,Non-Hispanic White,116,8.0,7.6,"28 (4, 57)",0.03,"4.1 (29.1, 2.2)"
Kings County (NY),Kings County,One opioid alone,single_opioid,nhw,Non-Hispanic White,29,2.7,3.3,"-24 (-48, 11)",0.15,"-3.7 (-1.6, 9.3)"
KS,Kansas,One opioid alone,single_opioid,nhw,Non-Hispanic White,131,6.2,6.3,"3 (0, 5)",0.02,"39.0 (250.5, 21.3)"
KY,Kentucky,One opioid alone,single_opioid,nhw,Non-Hispanic White,654,18.4,20.2,"4 (2, 8)",<.01,"22.7 (63.0, 13.8)"
LA,Louisiana,One opioid alone,single_opioid,nhw,Non-Hispanic White,288,10.9,11.5,"13 (9, 16)",<.001,"8.4 (11.9, 6.5)"
Lake County (IN),Lake County,One opioid alone,single_opioid,nhw,Non-Hispanic White,61,24.7,25.8,"18 (14, 22)",<.001,"6.0 (7.4, 5.1)"
Los Angeles County (CA),Los Angeles County,One opioid alone,single_opioid,nhw,Non-Hispanic White,279,9.9,9.2,"18 (8, 28)",<.01,"6.1 (12.3, 4.1)"
MA,Massachusetts,One opioid alone,single_opioid,nhw,Non-Hispanic White,"1,115",23.6,23.9,"6 (-5, 17)",0.28,"18.7 (-19.5, 6.3)"
Maricopa County (AZ),Maricopa County,One opioid alone,single_opioid,nhw,Non-Hispanic White,442,18.6,18.2,"16 (12, 21)",<.001,"6.6 (8.6, 5.3)"
Marion County (IN),Marion County,One opioid alone,single_opioid,nhw,Non-Hispanic White,144,27.4,29.3,"24 (19, 29)",<.001,"4.7 (5.7, 4.0)"
MD,Maryland,One opioid alone,single_opioid,nhw,Non-Hispanic White,801,27.4,30.4,"15 (12, 18)",<.001,"7.2 (9.2, 6.0)"
ME,Maine,One opioid alone,single_opioid,nhw,Non-Hispanic White,226,20.1,18.4,"-8 (-26, 16)",0.45,"-12.5 (-3.3, 6.8)"
Mecklenburg County (NC),Mecklenburg County,One opioid alone,single_opioid,nhw,Non-Hispanic White,84,15.0,15.8,"9 (7, 11)",<.001,"12.0 (15.6, 9.8)"
MI,Michigan,One opioid alone,single_opioid,nhw,Non-Hispanic White,863,12.3,12.6,"-2 (-21, 21)",0.82,"-43.0 (-4.2, 5.2)"
Miami-Dade County (FL),Miami-Dade County,One opioid alone,single_opioid,nhw,Non-Hispanic White,57,18.0,17.5,"14 (6, 23)",<.01,"7.4 (16.1, 4.8)"
Milwaukee County (WI),Milwaukee County,One opioid alone,single_opioid,nhw,Non-Hispanic White,138,27.1,28.8,"7 (6, 8)",<.001,"14.6 (17.7, 12.4)"
MN,Minnesota,One opioid alone,single_opioid,nhw,Non-Hispanic White,198,4.5,4.2,"-11 (-21, 1)",0.07,"-8.9 (-4.3, 83.8)"
MO,Missouri,One opioid alone,single_opioid,nhw,Non-Hispanic White,609,13.1,13.2,"4 (3, 6)",<.001,"25.5 (37.5, 18.7)"
Mobile County (AL),Mobile County,One opioid alone,single_opioid,nhw,Non-Hispanic White,17,7.5,8.8,"8 (0, 17)",0.05,"12.5 (500.5, 6.3)"
Monroe County (NY),Monroe County,One opioid alone,single_opioid,nhw,Non-Hispanic White,94,18.9,20.7,"16 (13, 19)",<.001,"6.8 (8.4, 5.7)"
Montgomery County (MD),Montgomery County,One opioid alone,single_opioid,nhw,Non-Hispanic White,74,14.1,14.5,"14 (9, 19)",<.001,"7.8 (11.9, 5.8)"
Montgomery County (OH),Montgomery County,One opioid alone,single_opioid,nhw,Non-Hispanic White,148,42.8,38.3,"-31 (-49, -8)",0.02,"-2.7 (-1.5, -12.2)"
MS,Mississippi,One opioid alone,single_opioid,nhw,Non-Hispanic White,149,8.9,8.5,"6 (4, 8)",<.001,"17.4 (28.3, 12.5)"
MT,Montana,One opioid alone,single_opioid,nhw,Non-Hispanic White,49,5.7,6.0,"30 (-14, 96)",0.19,"3.8 (-6.8, 1.5)"
Nassau County (NY),Nassau County,One opioid alone,single_opioid,nhw,Non-Hispanic White,79,11.1,10.4,"-15 (-27, -2)",0.03,"-6.0 (-3.2, -62.0)"
NC,North Carolina,One opioid alone,single_opioid,nhw,Non-Hispanic White,"1,018",16.3,15.6,"-9 (-26, 11)",0.31,"-10.5 (-3.4, 9.7)"
ND,North Dakota,One opioid alone,single_opioid,nhw,Non-Hispanic White,30,4.6,4.9,"9 (5, 13)",<.001,"11.7 (21.8, 8.1)"
NE,Nebraska,One opioid alone,single_opioid,nhw,Non-Hispanic White,43,2.9,3.4,"5 (2, 7)",<.01,"22.2 (53.1, 14.2)"
New Castle County (DE),New Castle County,One opioid alone,single_opioid,nhw,Non-Hispanic White,117,38.5,30.8,"15 (12, 18)",<.001,"7.2 (8.8, 6.0)"
New Haven County (CT),New Haven County,One opioid alone,single_opioid,nhw,Non-Hispanic White,102,20.4,19.7,"-2 (-10, 8)",0.68,"-55.1 (-9.1, 13.7)"
New York County (NY),New York County,One opioid alone,single_opioid,nhw,Non-Hispanic White,43,4.7,4.8,"0 (-2, 2)",0.89,"500.5 (-47.1, 40.5)"
NH,New Hampshire,One opioid alone,single_opioid,nhw,Non-Hispanic White,319,28.6,29.4,"-5 (-18, 10)",0.43,"-18.7 (-5.1, 11.0)"
NJ,New Jersey,One opioid alone,single_opioid,nhw,Non-Hispanic White,870,19.5,20.7,"16 (13, 19)",<.001,"6.8 (8.1, 5.9)"
NM,New Mexico,One opioid alone,single_opioid,nhw,Non-Hispanic White,94,13.0,15.6,"4 (2, 5)",<.001,"27.5 (40.5, 20.9)"
Norfolk city (VA),Norfolk city,One opioid alone,single_opioid,nhw,Non-Hispanic White,<11,"NA",7.6,"-42 (-79, 62)",0.27,"-1.8 (-0.6, 2.1)"
NV,Nevada,One opioid alone,single_opioid,nhw,Non-Hispanic White,215,13.3,12.7,"-15 (-29, 1)",0.06,"-6.0 (-2.9, 91.4)"
NY,New York,One opioid alone,single_opioid,nhw,Non-Hispanic White,"1,011",9.7,9.4,"-14 (-27, 0)",0.06,"-6.5 (-3.2, 250.5)"
Oakland County (MI),Oakland County,One opioid alone,single_opioid,nhw,Non-Hispanic White,24,3.1,4.2,"11 (7, 15)",<.001,"9.6 (14.2, 7.2)"
OH,Ohio,One opioid alone,single_opioid,nhw,Non-Hispanic White,"2,221",26.0,24.9,"-6 (-22, 15)",0.55,"-17.7 (-4.0, 7.2)"
OK,Oklahoma,One opioid alone,single_opioid,nhw,Non-Hispanic White,191,7.2,7.0,"-18 (-31, -2)",0.04,"-5.1 (-2.7, -62.0)"
Oklahoma County (OK),Oklahoma County,One opioid alone,single_opioid,nhw,Non-Hispanic White,46,9.3,9.3,"-7 (-11, -3)",<.01,"-13.4 (-8.3, -36.5)"
OR,Oregon,One opioid alone,single_opioid,nhw,Non-Hispanic White,220,6.5,6.7,"-4 (-5, -2)",<.001,"-27.3 (-19.1, -49.5)"
Orange County (FL),Orange County,One opioid alone,single_opioid,nhw,Non-Hispanic White,132,22.5,19.4,"6 (4, 7)",<.001,"17.7 (22.7, 14.2)"
Orleans Parish (LA),Orleans Parish,One opioid alone,single_opioid,nhw,Non-Hispanic White,15,11.8,9.9,"-4 (-12, 6)",0.38,"-27.3 (-7.9, 18.7)"
PA,Pennsylvania,One opioid alone,single_opioid,nhw,Non-Hispanic White,"1,466",16.4,18.4,"14 (11, 18)",<.001,"7.4 (9.3, 6.1)"
Palm Beach County (FL),Palm Beach County,One opioid alone,single_opioid,nhw,Non-Hispanic White,204,32.2,29.3,"-19 (-41, 11)",0.17,"-4.7 (-1.9, 9.9)"
Philadelphia County (PA),Philadelphia County,One opioid alone,single_opioid,nhw,Non-Hispanic White,292,50.8,63.7,"105 (38, 207)",<.01,"1.4 (3.1, 0.9)"
Pulaski County (AR),Pulaski County,One opioid alone,single_opioid,nhw,Non-Hispanic White,28,13.5,12.6,"7 (4, 10)",<.001,"15.4 (26.8, 10.8)"
Queens County (NY),Queens County,One opioid alone,single_opioid,nhw,Non-Hispanic White,47,8.2,8.9,"2 (0, 4)",0.07,"63.0 (-499.5, 29.1)"
RI,Rhode Island,One opioid alone,single_opioid,nhw,Non-Hispanic White,146,19.6,23.9,"8 (6, 9)",<.001,"13.7 (16.6, 11.7)"
Richland County (SC),Richland County,One opioid alone,single_opioid,nhw,Non-Hispanic White,26,15.7,19.6,"15 (10, 21)",<.001,"7.0 (10.3, 5.3)"
Riverside County (CA),Riverside County,One opioid alone,single_opioid,nhw,Non-Hispanic White,105,13.0,11.3,"5 (3, 7)",<.001,"21.3 (35.0, 15.4)"
Sacramento County (CA),Sacramento County,One opioid alone,single_opioid,nhw,Non-Hispanic White,64,8.5,8.6,"68 (-2, 188)",0.06,"1.9 (-45.0, 0.9)"
San Bernardino County (CA),San Bernardino County,One opioid alone,single_opioid,nhw,Non-Hispanic White,49,8.4,9.1,"43 (8, 90)",0.02,"2.8 (13.3, 1.6)"
San Diego County (CA),San Diego County,One opioid alone,single_opioid,nhw,Non-Hispanic White,184,10.9,10.6,"4 (0, 8)",0.05,"24.3 (1000.5, 12.3)"
SC,South Carolina,One opioid alone,single_opioid,nhw,Non-Hispanic White,494,15.9,18.3,"11 (10, 13)",<.001,"9.4 (11.0, 8.3)"
SD,South Dakota,One opioid alone,single_opioid,nhw,Non-Hispanic White,23,3.3,3.6,"0 (-4, 4)",0.85,"-249.5 (-22.2, 26.8)"
Shelby County (TN),Shelby County,One opioid alone,single_opioid,nhw,Non-Hispanic White,81,25.6,26.9,"10 (7, 14)",<.001,"10.1 (14.8, 7.7)"
St. Louis city (MO),St. Louis city,One opioid alone,single_opioid,nhw,Non-Hispanic White,69,48.4,46.5,"9 (6, 12)",<.001,"11.4 (15.9, 8.8)"
St. Louis County (MO),St. Louis County,One opioid alone,single_opioid,nhw,Non-Hispanic White,114,20.2,21.5,"5 (2, 8)",<.01,"20.1 (46.0, 13.0)"
Suffolk County (MA),Suffolk County,One opioid alone,single_opioid,nhw,Non-Hispanic White,93,25.9,28.1,"13 (5, 22)",<.01,"8.1 (20.1, 5.0)"
Suffolk County (NY),Suffolk County,One opioid alone,single_opioid,nhw,Non-Hispanic White,152,18.1,23.4,"7 (4, 9)",<.001,"15.4 (24.9, 11.1)"
Tarrant County (TX),Tarrant County,One opioid alone,single_opioid,nhw,Non-Hispanic White,55,5.8,6.8,"4 (2, 6)",<.001,"26.8 (53.1, 18.0)"
TN,Tennessee,One opioid alone,single_opioid,nhw,Non-Hispanic White,859,17.3,16.7,"0 (-7, 6)",0.87,"-199.5 (-14.0, 16.4)"
TX,Texas,One opioid alone,single_opioid,nhw,Non-Hispanic White,776,6.4,6.6,"1 (0, 2)",<.01,"77.4 (200.5, 48.1)"
Union County (NJ),Union County,One opioid alone,single_opioid,nhw,Non-Hispanic White,23,11.0,14.7,"10 (7, 14)",<.001,"10.4 (15.4, 7.8)"
UT,Utah,One opioid alone,single_opioid,nhw,Non-Hispanic White,246,10.3,12.2,"1 (-1, 2)",0.34,"167.2 (-142.4, 53.1)"
VA,Virginia,One opioid alone,single_opioid,nhw,Non-Hispanic White,510,9.9,11.8,"5 (4, 7)",<.001,"19.0 (24.9, 15.4)"
VT,Vermont,One opioid alone,single_opioid,nhw,Non-Hispanic White,54,10.6,12.5,"6 (5, 8)",<.001,"16.4 (21.8, 13.2)"
WA,Washington,One opioid alone,single_opioid,nhw,Non-Hispanic White,462,8.2,7.3,"-1 (-3, 0)",0.03,"-70.9 (-38.0, -999.5)"
Wake County (NC),Wake County,One opioid alone,single_opioid,nhw,Non-Hispanic White,59,8.8,8.6,"6 (4, 8)",<.001,"17.4 (29.1, 12.4)"
Wayne County (MI),Wayne County,One opioid alone,single_opioid,nhw,Non-Hispanic White,216,25.0,30.4,"12 (9, 14)",<.001,"8.9 (11.1, 7.4)"
Westchester County (NY),Westchester County,One opioid alone,single_opioid,nhw,Non-Hispanic White,36,8.1,12.2,"6 (3, 9)",<.01,"17.7 (36.2, 11.9)"
WI,Wisconsin,One opioid alone,single_opioid,nhw,Non-Hispanic White,483,10.7,10.5,"-2 (-11, 8)",0.65,"-49.5 (-8.7, 13.5)"
WV,West Virginia,One opioid alone,single_opioid,nhw,Non-Hispanic White,434,29.6,36.4,"9 (6, 11)",<.001,"11.9 (16.4, 9.3)"
WY,Wyoming,One opioid alone,single_opioid,nhw,Non-Hispanic White,35,7.2,7.2,"-1 (-6, 5)",0.81,"-166.2 (-17.7, 22.2)"
Adams County (CO),Adams County,One opioid alone,single_opioid,total,Total,303,8.8,8.3,"1 (-1, 2)",0.36,"143.4 (-110.6, 42.2)"
AK,Alaska,One opioid alone,single_opioid,total,Total,44,5.6,5.9,"-4 (-8, 0)",0.08,"-27.3 (-12.8, 200.5)"
AL,Alabama,One opioid alone,single_opioid,total,Total,308,6.6,6.6,"-4 (-29, 29)",0.76,"-23.3 (-3.0, 4.0)"
Alameda County (CA),Alameda County,One opioid alone,single_opioid,total,Total,87,4.9,3.8,"9 (4, 15)",<.01,"11.1 (22.7, 7.3)"
Allegheny County (PA),Allegheny County,One opioid alone,single_opioid,total,Total,207,17.3,15.0,"-32 (-64, 29)",0.22,"-2.6 (-1.0, 3.9)"
AR,Arkansas,One opioid alone,single_opioid,total,Total,143,5.0,5.6,"2 (0, 4)",0.03,"50.5 (500.5, 26.1)"
AZ,Arizona,One opioid alone,single_opioid,total,Total,"1,101",15.7,15.8,"19 (9, 30)",<.01,"5.8 (12.0, 3.8)"
Baltimore city (MD),Baltimore city,One opioid alone,single_opioid,total,Total,456,71.3,72.0,"25 (20, 30)",<.001,"4.5 (5.5, 3.8)"
Baltimore County (MD),Baltimore County,One opioid alone,single_opioid,total,Total,231,28.0,32.1,"16 (12, 20)",<.001,"6.7 (8.8, 5.5)"
Bexar County (TX),Bexar County,One opioid alone,single_opioid,total,Total,123,6.0,4.8,"-4 (-8, 0)",0.03,"-22.2 (-11.5, -249.5)"
Bronx County (NY),Bronx County,One opioid alone,single_opioid,total,Total,153,10.8,11.1,"9 (4, 13)",<.001,"12.1 (23.2, 8.2)"
Broward County (FL),Broward County,One opioid alone,single_opioid,total,Total,200,10.2,9.6,"-7 (-28, 19)",0.52,"-13.0 (-3.0, 5.6)"
CA,California,One opioid alone,single_opioid,total,Total,"2,625",6.4,5.2,"3 (2, 4)",<.001,"31.7 (53.1, 22.7)"
Caddo Parish (LA),Caddo Parish,One opioid alone,single_opioid,total,Total,<11,"NA",4.6,"18 (3, 35)",0.02,"6.0 (29.9, 3.3)"
Charleston County (SC),Charleston County,One opioid alone,single_opioid,total,Total,42,9.7,10.9,"8 (5, 11)",<.001,"13.0 (19.4, 9.8)"
Chatham County (GA),Chatham County,One opioid alone,single_opioid,total,Total,15,5.3,9.3,"13 (9, 17)",<.001,"8.4 (12.0, 6.5)"
Clark County (NV),Clark County,One opioid alone,single_opioid,total,Total,204,8.6,9.0,"-6 (-8, -4)",<.001,"-15.9 (-11.4, -25.8)"
CO,Colorado,One opioid alone,single_opioid,total,Total,518,8.6,8.6,"3 (2, 4)",<.001,"37.5 (63.0, 26.8)"
Cobb County (GA),Cobb County,One opioid alone,single_opioid,total,Total,46,6.0,5.9,"-21 (-40, 2)",0.07,"-4.2 (-2.0, 44.0)"
Contra Costa County (CA),Contra Costa County,One opioid alone,single_opioid,total,Total,69,6.0,4.7,"3 (0, 6)",0.07,"39.0 (-332.8, 18.7)"
Cook County (IL),Cook County,One opioid alone,single_opioid,total,Total,574,10.8,11.0,"4 (3, 6)",<.001,"23.8 (35.0, 18.0)"
CT,Connecticut,One opioid alone,single_opioid,total,Total,674,19.5,19.1,"9 (5, 13)",<.001,"12.0 (20.9, 8.4)"
Cumberland County (NC),Cumberland County,One opioid alone,single_opioid,total,Total,56,17.4,17.8,"12 (10, 15)",<.001,"8.7 (11.0, 7.2)"
Cuyahoga County (OH),Cuyahoga County,One opioid alone,single_opioid,total,Total,292,23.6,25.8,"12 (10, 14)",<.001,"8.8 (10.3, 7.7)"
Dallas County (TX),Dallas County,One opioid alone,single_opioid,total,Total,157,5.7,6.1,"4 (2, 6)",<.001,"25.5 (42.2, 18.4)"
Davidson County (TN),Davidson County,One opioid alone,single_opioid,total,Total,181,24.8,21.5,"9 (8, 11)",<.001,"11.4 (13.5, 9.8)"
DC,District of Columbia,One opioid alone,single_opioid,total,Total,153,20.9,21.1,"18 (13, 24)",<.001,"6.0 (8.1, 4.7)"
DE,Delaware,One opioid alone,single_opioid,total,Total,242,27.1,26.8,"44 (9, 92)",0.02,"2.7 (12.0, 1.5)"
DeKalb County (GA),DeKalb County,One opioid alone,single_opioid,total,Total,38,4.8,5.5,"10 (7, 12)",<.001,"10.9 (14.8, 8.6)"
Delaware County (PA),Delaware County,One opioid alone,single_opioid,total,Total,107,19.8,23.7,"28 (17, 41)",<.001,"4.0 (6.2, 2.9)"
District of Columbia (DC),District of Columbia,One opioid alone,single_opioid,total,Total,153,20.9,21.1,"18 (13, 24)",<.001,"6.0 (8.1, 4.7)"
Durham County (NC),Durham County,One opioid alone,single_opioid,total,Total,21,6.3,6.7,"5 (2, 8)",<.01,"21.8 (63.0, 13.2)"
Duval County (FL),Duval County,One opioid alone,single_opioid,total,Total,247,26.4,25.5,"15 (11, 19)",<.001,"7.2 (9.3, 5.9)"
East Baton Rouge Parish (LA),East Baton Rouge Parish,One opioid alone,single_opioid,total,Total,35,9.0,9.3,"44 (-1, 108)",0.05,"2.8 (-124.5, 1.4)"
Erie County (NY),Erie County,One opioid alone,single_opioid,total,Total,95,11.0,10.6,"-16 (-38, 13)",0.21,"-5.5 (-2.1, 8.3)"
Essex County (NJ),Essex County,One opioid alone,single_opioid,total,Total,160,18.3,18.2,"16 (11, 22)",<.001,"6.6 (9.8, 5.0)"
Fairfax County (VA),Fairfax County,One opioid alone,single_opioid,total,Total,56,4.7,5.0,"7 (4, 9)",<.001,"15.6 (26.1, 11.1)"
FL,Florida,One opioid alone,single_opioid,total,Total,"2,824",13.9,14.5,"16 (11, 22)",<.001,"6.6 (9.9, 5.0)"
Fort Bend County (TX),Fort Bend County,One opioid alone,single_opioid,total,Total,20,2.6,2.8,"2 (-2, 6)",0.25,"48.1 (-66.2, 17.7)"
Franklin County (OH),Franklin County,One opioid alone,single_opioid,total,Total,452,33.6,33.2,"23 (16, 30)",<.001,"4.8 (6.7, 3.8)"
Fulton County (GA),Fulton County,One opioid alone,single_opioid,total,Total,56,4.9,6.9,"5 (2, 7)",<.001,"22.2 (42.2, 15.2)"
GA,Georgia,One opioid alone,single_opioid,total,Total,590,5.6,5.4,"-12 (-27, 5)",0.14,"-7.6 (-3.2, 20.5)"
Guilford County (NC),Guilford County,One opioid alone,single_opioid,total,Total,68,13.4,14.5,"18 (9, 27)",<.01,"6.1 (11.7, 4.2)"
Gwinnett County (GA),Gwinnett County,One opioid alone,single_opioid,total,Total,36,3.8,5.6,"6 (4, 8)",<.001,"16.9 (25.5, 12.5)"
Hamilton County (OH),Hamilton County,One opioid alone,single_opioid,total,Total,249,31.0,31.9,"12 (10, 14)",<.001,"9.0 (10.8, 7.7)"
Harris County (TX),Harris County,One opioid alone,single_opioid,total,Total,246,5.1,4.5,"0 (-2, 2)",0.78,"-332.8 (-47.1, 63.0)"
Hartford County (CT),Hartford County,One opioid alone,single_opioid,total,Total,235,26.9,27.5,"19 (14, 24)",<.001,"5.8 (7.8, 4.6)"
Hennepin County (MN),Hennepin County,One opioid alone,single_opioid,total,Total,103,8.1,8.1,"3 (2, 5)",<.01,"29.9 (67.2, 19.4)"
HI,Hawaii,One opioid alone,single_opioid,total,Total,44,2.8,3.3,"-2 (-5, 0)",0.05,"-41.2 (-20.8, Inf)"
Hillsborough County (FL),Hillsborough County,One opioid alone,single_opioid,total,Total,140,9.1,9.2,"6 (-2, 14)",0.14,"17.7 (-43.0, 7.4)"
IA,Iowa,One opioid alone,single_opioid,total,Total,111,3.6,3.4,"-11 (-20, -2)",0.02,"-8.4 (-4.6, -52.1)"
ID,Idaho,One opioid alone,single_opioid,total,Total,107,6.1,6.1,"4 (3, 5)",<.001,"24.3 (32.8, 19.7)"
IL,Illinois,One opioid alone,single_opioid,total,Total,"1,267",10.0,11.1,"6 (5, 7)",<.001,"17.2 (20.1, 15.0)"
IN,Indiana,One opioid alone,single_opioid,total,Total,883,13.9,13.5,"3 (-13, 21)",0.72,"36.2 (-7.2, 5.2)"
Jackson County (MO),Jackson County,One opioid alone,single_opioid,total,Total,55,8.0,8.2,"1 (-2, 4)",0.52,"111.6 (-52.1, 27.5)"
Jefferson County (AL),Jefferson County,One opioid alone,single_opioid,total,Total,98,15.5,16.0,"-6 (-29, 24)",0.64,"-16.2 (-3.0, 4.7)"
Jefferson County (KY),Jefferson County,One opioid alone,single_opioid,total,Total,185,25.2,25.8,"15 (11, 20)",<.001,"7.1 (9.8, 5.5)"
Jefferson Parish (LA),Jefferson Parish,One opioid alone,single_opioid,total,Total,71,16.5,17.3,"-12 (-39, 27)",0.45,"-7.7 (-2.0, 4.2)"
King County (WA),King County,One opioid alone,single_opioid,total,Total,160,6.7,6.0,"19 (6, 35)",<.01,"5.6 (17.7, 3.3)"
Kings County (NY),Kings County,One opioid alone,single_opioid,total,Total,101,3.7,3.6,"-14 (-22, -4)",0.01,"-6.9 (-4.0, -23.9)"
KS,Kansas,One opioid alone,single_opioid,total,Total,161,5.8,5.5,"2 (0, 4)",0.02,"40.5 (200.5, 22.7)"
